# CheIME s2t conversion table — TSV format: <source_char><TAB><target_text>
# Derived from OpenCC STCharacters.txt (Apache 2.0).
# Lines starting with # are comments.

爱	愛
碍	礙
肮	骯
袄	襖
坝	壩
板	闆
办	辦
帮	幫
绑	綁
谤	謗
饱	飽
报	報
鲍	鮑
备	備
笔	筆
币	幣
闭	閉
边	邊
编	編
变	變
标	標
表	錶
别	彆
宾	賓
饼	餅
拨	撥
驳	駁
卜	蔔
补	補
布	佈
才	纔
财	財
采	採
彩	綵
参	參
惨	慘
蚕	蠶
仓	倉
舱	艙
册	冊
层	層
产	產
铲	鏟
长	長
尝	嘗
偿	償
厂	廠
场	場
畅	暢
钞	鈔
车	車
彻	徹
尘	塵
陈	陳
衬	襯
称	稱
惩	懲
诚	誠
吃	喫
迟	遲
冲	衝
虫	蟲
筹	籌
丑	醜
出	齣
础	礎
处	處
触	觸
传	傳
床	牀
创	創
纯	純
绰	綽
词	詞
辞	辭
聪	聰
丛	叢
粗	麤
窜	竄
达	達
带	帶
单	單
胆	膽
弹	彈
当	當
党	黨
荡	蕩
导	導
岛	島
灯	燈
邓	鄧
敌	敵
递	遞
点	點
电	電
垫	墊
调	調
吊	弔
叠	疊
顶	頂
订	訂
东	東
冬	鼕
动	動
冻	凍
斗	鬥
读	讀
独	獨
赌	賭
镀	鍍
断	斷
锻	鍛
队	隊
对	對
吨	噸
夺	奪
额	額
恶	惡
儿	兒
尔	爾
发	發
罚	罰
阀	閥
饭	飯
飞	飛
费	費
废	廢
丰	豐
风	風
疯	瘋
冯	馮
凤	鳳
肤	膚
负	負
妇	婦
该	該
干	乾
赶	趕
刚	剛
钢	鋼
岗	崗
个	個
给	給
沟	溝
钩	鉤
购	購
够	夠
谷	穀
顾	顧
关	關
观	觀
馆	館
广	廣
归	歸
龟	龜
柜	櫃
贵	貴
国	國
过	過
还	還
汉	漢
号	號
后	後
胡	鬍
护	護
华	華
划	劃
画	畫
话	話
坏	壞
欢	歡
环	環
换	換
黄	黃
挥	揮
回	迴
会	會
汇	匯
绘	繪
伙	夥
获	獲
机	機
积	積
迹	跡
极	極
几	幾
计	計
记	記
纪	紀
际	際
济	濟
继	繼
家	傢
价	價
驾	駕
坚	堅
间	間
艰	艱
检	檢
简	簡
见	見
剑	劍
渐	漸
践	踐
鉴	鑑
键	鍵
将	將
姜	薑
讲	講
奖	獎
胶	膠
脚	腳
较	較
阶	階
节	節
洁	潔
结	結
届	屆
紧	緊
锦	錦
仅	僅
尽	盡
进	進
惊	驚
经	經
净	淨
竞	競
镜	鏡
纠	糾
旧	舊
举	舉
巨	鉅
据	據
剧	劇
惧	懼
卷	捲
绝	絕
军	軍
开	開
壳	殼
克	剋
恳	懇
库	庫
夸	誇
块	塊
宽	寬
矿	礦
困	睏
扩	擴
阔	闊
来	來
兰	蘭
懒	懶
烂	爛
劳	勞
乐	樂
类	類
累	纍
离	離
里	裡
历	歷
丽	麗
连	連
联	聯
脸	臉
练	練
炼	煉
恋	戀
粮	糧
两	兩
疗	療
了	瞭
临	臨
邻	鄰
灵	靈
岭	嶺
领	領
刘	劉
龙	龍
楼	樓
陆	陸
录	錄
绿	綠
乱	亂
论	論
罗	羅
妈	媽
马	馬
骂	罵
吗	嗎
买	買
卖	賣
满	滿
么	麼
没	沒
门	門
们	們
梦	夢
面	麵
灭	滅
鸣	鳴
谋	謀
亩	畝
纳	納
难	難
脑	腦
闹	鬧
鸟	鳥
宁	寧
农	農
欧	歐
盘	盤
骗	騙
频	頻
凭	憑
评	評
扑	撲
铺	鋪
骑	騎
气	氣
弃	棄
千	韆
迁	遷
签	簽
钱	錢
强	強
桥	橋
亲	親
轻	輕
庆	慶
穷	窮
秋	鞦
区	區
曲	麯
权	權
却	卻
确	確
让	讓
热	熱
认	認
软	軟
润	潤
赛	賽
杀	殺
闪	閃
伤	傷
设	設
谁	誰
审	審
声	聲
胜	勝
师	師
时	時
识	識
实	實
势	勢
试	試
视	視
书	書
术	術
树	樹
数	數
双	雙
顺	順
说	說
丝	絲
苏	蘇
虽	雖
岁	歲
孙	孫
台	臺
态	態
谈	談
铁	鐵
听	聽
同	衕
统	統
头	頭
图	圖
团	團
万	萬
网	網
为	為
伟	偉
卫	衛
闻	聞
问	問
无	無
务	務
误	誤
习	習
系	係
细	細
鲜	鮮
显	顯
险	險
县	縣
现	現
线	線
乡	鄉
详	詳
向	嚮
项	項
象	像
协	協
写	寫
谢	謝
兴	興
须	須
许	許
续	續
选	選
学	學
压	壓
烟	煙
严	嚴
颜	顏
验	驗
阳	陽
养	養
样	樣
药	藥
业	業
叶	葉
医	醫
义	義
艺	藝
议	議
阴	陰
银	銀
应	應
优	優
邮	郵
鱼	魚
与	與
语	語
预	預
远	遠
愿	願
云	雲
运	運
杂	雜
赞	贊
则	則
战	戰
张	張
这	這
阵	陣
争	爭
证	證
织	織
职	職
只	隻
纸	紙
志	誌
制	製
质	質
终	終
种	種
众	眾
周	週
注	註
驻	駐
专	專
转	轉
装	裝
壮	壯
状	狀
准	準
资	資
总	總
组	組
